40,42,255
41,42,255
42,42,255
43,42,254
44,42,254
45,42,253
46,42,253
47,42,252
48,42,251
48,42,251
49,42,250
50,42,250
51,42,249
52,42,249
53,42,248
54,42,248
55,42,247
56,42,247
57,42,246
58,42,245
59,42,245
60,42,244
60,42,244
61,42,243
62,42,243
63,42,242
64,42,242
65,42,241
66,42,241
67,42,240
68,42,239
69,42,239
70,42,238
71,42,238
72,42,237
72,42,237
73,42,236
74,42,236
75,42,235
76,42,235
77,42,234
78,42,233
79,42,233
80,42,232
81,42,232
82,42,231
83,42,231
83,42,230
84,42,230
85,42,229
86,42,229
87,42,228
88,42,227
89,42,227
90,42,226
91,42,226
92,42,225
93,42,225
94,42,224
95,42,224
95,42,223
96,42,223
97,42,222
98,42,221
99,42,221
100,42,220
101,42,219
102,42,218
103,42,217
104,42,216
105,42,215
106,42,214
107,42,213
108,42,213
109,42,212
111,42,211
112,42,210
113,42,209
114,42,208
115,42,207
116,42,206
117,42,205
118,42,204
119,42,203
120,42,203
121,42,202
122,42,201
123,42,200
124,42,199
125,42,198
126,42,197
127,42,196
128,42,195
129,42,194
130,42,194
131,42,193
132,42,192
133,42,191
134,42,190
135,42,189
136,42,188
137,42,187
138,42,186
139,42,185
140,42,184
141,42,184
142,42,183
143,42,182
145,42,181
146,42,180
147,42,179
148,42,178
149,42,177
150,42,176
151,42,175
152,42,174
153,42,174
154,42,173
155,42,172
156,42,171
157,42,170
158,42,169
159,42,168
160,42,167
161,42,166
162,42,165
163,42,164
164,42,163
165,43,163
166,43,161
167,43,160
168,43,159
169,43,158
170,43,157
171,43,156
171,43,155
172,43,154
173,43,153
174,43,152
175,43,151
176,43,150
177,43,149
178,43,148
179,43,147
180,43,146
180,43,145
181,43,144
182,43,143
183,43,142
184,43,141
185,43,140
186,43,139
187,43,138
188,43,136
189,43,135
190,43,134
191,43,133
191,43,132
192,43,131
193,43,130
194,43,129
195,43,128
196,43,127
197,43,126
198,43,125
199,43,124
200,43,123
201,43,122
201,43,121
202,43,120
203,43,119
204,43,118
205,43,117
206,43,116
207,43,115
208,43,114
209,43,112
210,43,111
211,43,110
211,43,109
212,43,108
213,43,107
214,43,106
215,43,105
216,43,104
217,43,103
218,43,102
219,43,101
220,43,100
221,43,99
221,43,98
222,43,97
223,43,96
223,43,95
224,43,94
225,43,93
225,43,92
226,43,92
226,43,91
227,43,90
227,43,89
228,43,88
228,43,87
229,43,86
229,42,85
230,42,84
230,42,84
231,42,83
231,42,82
232,42,81
232,42,80
233,42,79
233,42,78
234,42,77
234,42,76
235,42,76
235,42,75
236,42,74
236,42,73
237,42,72
238,42,71
238,41,70
239,41,69
239,41,68
240,41,68
240,41,67
241,41,66
241,41,65
242,41,64
242,41,63
243,41,62
243,41,61
244,41,61
244,41,60
245,41,59
245,41,58
246,41,57
246,41,56
247,40,55
247,40,54
248,40,53
248,40,53
249,40,52
250,40,51
250,40,50
251,40,49
251,40,48
252,40,47
252,40,46
253,40,45
253,40,45
254,40,44
254,40,43
255,40,42
255,39,41
255,39,40
