ZIP,LAT,LON
01351,42.540,-72.522
01354,42.624,-72.509
01355,42.459,-72.327
01360,42.677,-72.454
01364,42.605,-72.292
01366,42.476,-72.192
01367,42.696,-72.909
01368,42.679,-72.177
01370,42.593,-72.727
01373,42.475,-72.615
01375,42.467,-72.547
01376,42.595,-72.555
01378,42.674,-72.353
01379,42.556,-72.407
01420,42.585,-71.817
01430,42.657,-71.923
01431,42.676,-71.833
01432,42.567,-71.575
01434,42.539,-71.612
01436,42.602,-72.087
01438,42.562,-72.031
01440,42.584,-71.989
01450,42.612,-71.565
01451,42.502,-71.568
01452,42.490,-72.003
01453,42.520,-71.763
01460,42.536,-71.491
01462,42.583,-71.720
01463,42.671,-71.603
01464,42.574,-71.641
01467,42.490,-71.610
01468,42.543,-72.068
01469,42.665,-71.695
01473,42.555,-71.905
01474,42.670,-71.753
01475,42.668,-72.056
01501,42.199,-71.846
01503,42.385,-71.634
01504,42.040,-71.532
01505,42.355,-71.716
01506,42.181,-72.108
01507,42.134,-71.968
01510,42.412,-71.690
01515,42.210,-72.040
01516,42.053,-71.752
01518,42.127,-72.119
01519,42.203,-71.680
01520,42.336,-71.851
01521,42.047,-72.180
01522,42.376,-71.867
01523,42.484,-71.676
01524,42.250,-71.919
01525,42.107,-71.631
01527,42.192,-71.778
01529,42.037,-71.579
01531,42.319,-72.131
01532,42.323,-71.646
01534,42.142,-71.643
01535,42.268,-72.067
01536,42.231,-71.693
01537,42.159,-71.897
01540,42.116,-71.857
01541,42.454,-71.878
01542,42.204,-71.909
01543,42.388,-71.970
01545,42.285,-71.714
01550,42.060,-72.034
01560,42.175,-71.674
01561,42.444,-71.686
01562,42.247,-71.992
01564,42.448,-71.776
01566,42.103,-72.080
01568,42.177,-71.604
01569,42.056,-71.631
01570,42.048,-71.847
01571,42.054,-71.935
01581,42.268,-71.613
01583,42.369,-71.785
01585,42.241,-72.163
01588,42.119,-71.672
01590,42.132,-71.750
01602,42.269,-71.851
01603,42.244,-71.844
01604,42.253,-71.768
01605,42.290,-71.788
01606,42.315,-71.796
01607,42.226,-71.789
01608,42.262,-71.801
01609,42.285,-71.830
01610,42.247,-71.808
01611,42.238,-71.876
01612,42.297,-71.929
01701,42.320,-71.443
01702,42.282,-71.437
01718,42.520,-71.429
01719,42.486,-71.521
01720,42.484,-71.438
01721,42.258,-71.474
01730,42.499,-71.282
01731,42.457,-71.279
01740,42.440,-71.602
01741,42.537,-71.362
01742,42.463,-71.364
01745,42.292,-71.499
01746,42.196,-71.453
01747,42.123,-71.531
01748,42.224,-71.540
01749,42.389,-71.546
01752,42.350,-71.547
01754,42.426,-71.456
01756,42.094,-71.545
01757,42.159,-71.521
01760,42.285,-71.349
01770,42.232,-71.373
01772,42.303,-71.531
01773,42.426,-71.311
01775,42.430,-71.513
01776,42.383,-71.421
01778,42.344,-71.381
01801,42.489,-71.154
01803,42.503,-71.202
01810,42.648,-71.162
01821,42.549,-71.252
01824,42.591,-71.355
01826,42.680,-71.301
01827,42.676,-71.500
01830,42.796,-71.053
01832,42.791,-71.133
01833,42.728,-70.982
01834,42.754,-71.016
01835,42.751,-71.094
01840,42.707,-71.160
01841,42.712,-71.165
01843,42.690,-71.160
01844,42.742,-71.179
01845,42.674,-71.091
01850,42.656,-71.303
01851,42.628,-71.335
01852,42.632,-71.296
01854,42.649,-71.348
01860,42.839,-71.012
01862,42.579,-71.296
01863,42.634,-71.389
01864,42.578,-71.084
01867,42.535,-71.105
01876,42.612,-71.228
01879,42.668,-71.429
01880,42.502,-71.067
01886,42.586,-71.440
01887,42.565,-71.165
01890,42.453,-71.144
01901,42.460,-70.946
01902,42.471,-70.942
01904,42.492,-70.974
01905,42.466,-70.976
01906,42.468,-71.014
01907,42.474,-70.907
01908,42.428,-70.926
01913,42.851,-70.956
01915,42.571,-70.868
01921,42.683,-71.018
01922,42.757,-70.914
01923,42.574,-70.951
01929,42.640,-70.771
01930,42.620,-70.682
01937,42.586,-70.984
01938,42.684,-70.843
01940,42.534,-71.038
01944,42.577,-70.767
01945,42.502,-70.859
01949,42.607,-71.010
01950,42.812,-70.891
01951,42.773,-70.850
01952,42.845,-70.841
01960,42.534,-70.970
01966,42.641,-70.620
01969,42.721,-70.891
01970,42.524,-70.871
01982,42.626,-70.857
01983,42.641,-70.943
01984,42.601,-70.883
01985,42.800,-70.964
02019,42.077,-71.474
02021,42.176,-71.125
02025,42.236,-70.814
02026,42.247,-71.179
02030,42.234,-71.291
02032,42.157,-71.216
02035,42.061,-71.246
02038,42.085,-71.411
02043,42.216,-70.881
02045,42.292,-70.924
02047,42.134,-70.686
02048,42.017,-71.216
02050,42.115,-70.710
02052,42.185,-71.305
02053,42.156,-71.430
02054,42.173,-71.364
02056,42.114,-71.334
02061,42.165,-70.819
02062,42.187,-71.196
02066,42.202,-70.758
02067,42.108,-71.182
02071,42.103,-71.274
02072,42.119,-71.104
02081,42.147,-71.271
02090,42.220,-71.217
02093,42.053,-71.357
02108,42.358,-71.065
02109,42.367,-71.050
02110,42.362,-71.048
02111,42.351,-71.059
02113,42.365,-71.055
02114,42.363,-71.069
02115,42.337,-71.106
02116,42.351,-71.076
02118,42.338,-71.070
02119,42.324,-71.085
02120,42.332,-71.097
02121,42.306,-71.086
02122,42.291,-71.042
02124,42.286,-71.071
02125,42.316,-71.056
02126,42.274,-71.097
02127,42.335,-71.039
02128,42.361,-71.007
02129,42.380,-71.061
02130,42.309,-71.114
02131,42.284,-71.126
02132,42.280,-71.162
02134,42.358,-71.129
02135,42.350,-71.154
02136,42.255,-71.129
02138,42.380,-71.135
02139,42.363,-71.103
02140,42.392,-71.134
02141,42.370,-71.083
02142,42.361,-71.082
02143,42.381,-71.097
02144,42.400,-71.123
02145,42.392,-71.090
02148,42.429,-71.059
02149,42.406,-71.055
02150,42.397,-71.031
02151,42.418,-71.001
02152,42.373,-70.975
02155,42.424,-71.108
02163,42.366,-71.123
02169,42.248,-71.002
02170,42.266,-71.016
02171,42.293,-71.018
02176,42.456,-71.059
02180,42.474,-71.098
02184,42.206,-71.002
02186,42.242,-71.082
02188,42.205,-70.958
02189,42.210,-70.928
02190,42.167,-70.952
02191,42.243,-70.942
02199,42.347,-71.082
02203,42.361,-71.059
02210,42.347,-71.039
02215,42.348,-71.103
02301,42.078,-71.042
02302,42.089,-70.998
02322,42.132,-71.054
02324,41.972,-70.979
02330,41.879,-70.743
02332,42.044,-70.706
02333,42.037,-70.940
02338,42.003,-70.863
02339,42.123,-70.856
02341,42.050,-70.867
02343,42.140,-70.997
02346,41.878,-70.869
02347,41.834,-70.957
02351,42.120,-70.957
02356,42.061,-71.120
02357,42.055,-71.081
02359,42.068,-70.806
02360,41.882,-70.631
02364,41.987,-70.742
02366,41.851,-70.655
02367,41.959,-70.803
02368,42.176,-71.052
02370,42.130,-70.911
02375,42.003,-71.077
02379,42.022,-71.027
02382,42.079,-70.939
02420,42.457,-71.215
02421,42.439,-71.240
02445,42.325,-71.135
02446,42.344,-71.122
02451,42.398,-71.256
02452,42.393,-71.214
02453,42.370,-71.241
02457,42.299,-71.274
02458,42.354,-71.188
02459,42.315,-71.192
02460,42.352,-71.208
02461,42.317,-71.207
